iter	Logloss
0	0.6838120948
1	0.6745652112
2	0.6653977936
3	0.6567183632
4	0.647967729
5	0.6397527695
6	0.63125726
7	0.6229620692
8	0.6150490999
9	0.6068672956
10	0.5991629997
11	0.591515462
12	0.583985423
13	0.5765846363
14	0.569285133
15	0.5620111967
16	0.5549177925
17	0.5479117856
18	0.5412822423
19	0.5347227583
20	0.5281992337
21	0.5217814635
22	0.5154144012
23	0.5091499628
24	0.5029488878
25	0.4970327116
26	0.4909486944
27	0.4850541678
28	0.4793182412
29	0.4735822891
30	0.4681371874
31	0.4627953676
32	0.457397419
33	0.4520750468
34	0.4469882776
35	0.4417051913
36	0.4366525505
37	0.4315878008
38	0.4265616934
39	0.4215589666
40	0.4167487296
41	0.4119049667
42	0.407205669
43	0.4026033252
44	0.3980624516
45	0.3935710331
46	0.3890256199
47	0.3846702846
48	0.3803073152
49	0.3761720592
50	0.3720075984
51	0.3678926677
52	0.3638206766
53	0.3597105909
54	0.3557773021
55	0.3518045481
56	0.3479274401
57	0.3440441974
58	0.3403942622
59	0.3366949198
60	0.3329746844
61	0.3293085679
62	0.3257635997
63	0.322331913
64	0.318936752
65	0.3155731991
66	0.3122682188
67	0.3089014399
68	0.3055263852
69	0.3023610387
70	0.2992335978
71	0.2960449714
72	0.2929281462
73	0.2898715761
74	0.2870305
75	0.2843267578
76	0.281372854
77	0.2784816954
78	0.2756718213
79	0.2728531032
80	0.2700619479
81	0.2673083705
82	0.2646309331
83	0.2620742782
84	0.2594730985
85	0.2569127544
86	0.2543644267
87	0.2517893198
88	0.2491678432
89	0.2466249528
90	0.2441090588
91	0.2416968251
92	0.2393070703
93	0.236919081
94	0.2345303454
95	0.2322467072
96	0.2299232163
97	0.2275388524
98	0.2252927126
99	0.2230562695
