iter	Passed	Remaining
0	6	636
1	9	478
2	13	424
3	15	368
4	18	350
5	23	363
6	25	341
7	27	321
8	30	308
9	33	299
10	36	297
11	39	291
12	42	286
13	45	276
14	53	302
15	57	302
16	60	296
17	65	299
18	71	303
19	74	298
20	78	294
21	82	291
22	85	287
23	90	286
24	95	285
25	99	281
26	102	277
27	106	273
28	108	266
29	111	260
30	115	257
31	117	250
32	120	244
33	124	242
34	129	241
35	133	237
36	136	232
37	138	226
38	142	223
39	145	218
40	148	213
41	152	210
42	156	206
43	161	205
44	164	200
45	167	196
46	169	191
47	172	186
48	174	182
49	177	177
50	183	176
51	187	173
52	191	169
53	194	165
54	198	162
55	201	158
56	203	153
57	206	149
58	210	146
59	213	142
60	216	138
61	220	135
62	223	131
63	228	128
64	230	124
65	233	120
66	236	116
67	241	113
68	245	110
69	247	106
70	249	102
71	254	99
72	258	95
73	260	91
74	262	87
75	264	83
76	267	79
77	270	76
78	274	72
79	277	69
80	280	65
81	286	62
82	288	59
83	292	55
84	294	52
85	298	48
86	302	45
87	304	41
88	307	37
89	309	34
90	315	31
91	319	27
92	322	24
93	324	20
94	329	17
95	333	13
96	336	10
97	339	6
98	341	3
99	346	0
