iter	Logloss
0	0.6837752316
1	0.6745310091
2	0.6653627045
3	0.65668372
4	0.6479077371
5	0.6396146089
6	0.6311219493
7	0.6228651763
8	0.6149533481
9	0.6067737895
10	0.5990721586
11	0.5914266509
12	0.5838986407
13	0.5765000081
14	0.5691597476
15	0.5618884771
16	0.5547976726
17	0.5477933151
18	0.5411654824
19	0.5346082825
20	0.5281537657
21	0.521698751
22	0.5153336562
23	0.5090943181
24	0.5028946079
25	0.4969331671
26	0.4908499414
27	0.4849454005
28	0.4792110591
29	0.473477198
30	0.468033934
31	0.4626930634
32	0.4572965091
33	0.4519757537
34	0.4468558134
35	0.4415746931
36	0.4364885331
37	0.431439944
38	0.4264159615
39	0.4214151654
40	0.4165845352
41	0.4117433367
42	0.4070465754
43	0.4024461938
44	0.397917937
45	0.3934288032
46	0.3888846896
47	0.3845581447
48	0.3801819129
49	0.3760486218
50	0.3719063101
51	0.3677933108
52	0.3637221104
53	0.3596137673
54	0.3556821565
55	0.3517102285
56	0.3478609701
57	0.3439786761
58	0.3403289239
59	0.3366312307
60	0.3329116575
61	0.3292597939
62	0.3257372771
63	0.3223011331
64	0.3189062854
65	0.3155677977
66	0.3122626237
67	0.3088957796
68	0.3055204377
69	0.3023556303
70	0.2992281223
71	0.29603978
72	0.2929226367
73	0.2898663629
74	0.2870251926
75	0.2842546022
76	0.2813012366
77	0.2783897822
78	0.2756221097
79	0.272804215
80	0.2700135012
81	0.267260336
82	0.2645643033
83	0.262047639
84	0.2594762793
85	0.2569157278
86	0.2543670671
87	0.2517928743
88	0.2491713501
89	0.2466280965
90	0.2441122336
91	0.2416997766
92	0.2393098623
93	0.2369201716
94	0.2345313988
95	0.2322220866
96	0.229898893
97	0.2275148312
98	0.225275995
99	0.2230387583
