iter	Passed	Remaining
0	161	15962
1	163	8010
2	165	5352
3	167	4020
4	169	3225
5	171	2693
6	174	2316
7	176	2030
8	178	1804
9	179	1616
10	181	1470
11	183	1348
12	185	1243
13	187	1153
14	190	1079
15	192	1011
16	194	950
17	196	895
18	198	846
19	200	803
20	202	762
21	204	726
22	206	692
23	209	663
24	211	634
25	213	606
26	214	580
27	216	557
28	219	537
29	222	518
30	224	499
31	226	481
32	229	465
33	230	448
34	232	432
35	234	417
36	237	404
37	240	391
38	241	378
39	243	365
40	245	353
41	248	342
42	250	331
43	253	322
44	255	312
45	258	303
46	260	293
47	262	283
48	263	274
49	266	266
50	268	258
51	271	250
52	272	242
53	275	234
54	277	226
55	278	219
56	280	211
57	282	204
58	285	198
59	287	191
60	289	184
61	290	178
62	293	172
63	295	166
64	297	160
65	299	154
66	302	148
67	304	143
68	306	137
69	308	132
70	310	126
71	312	121
72	314	116
73	316	111
74	318	106
75	320	101
76	322	96
77	324	91
78	325	86
79	327	81
80	330	77
81	333	73
82	335	68
83	337	64
84	339	59
85	341	55
86	343	51
87	345	47
88	347	42
89	349	38
90	351	34
91	353	30
92	354	26
93	356	22
94	358	18
95	361	15
96	363	11
97	365	7
98	367	3
99	369	0
